State,zipcode,Mean Income,Estimated Investments,Home_Value
AL,35984,"69,684.44","102,911","281,238"
AL,35986,"62,949.86","20,029","215,184"
AL,35987,"57,784.91",13698,"195,013"
AL,35988,"54,269.57",3217,"191,097"
AL,35989,"58,906.06","21,061","216,714"
AL,36003,"59,678.38",17378,"162,338"
AL,36005,"54,163.89",6361,"144,725"
AL,36006,"61,655.17",9034,"215,190"
AL,36009,"62,928.04","23,028","132,508"
AL,36010,"47,980.10","16,031","100,458"
AL,36013,"147,831.82",33273,"412,172"
AL,36016,"51,308.26",14413,"108,903"
AL,36017,"28,667.57",1568,
AL,36020,"57,950.00",6920,"210,174"
AL,36022,"78,466.51","16,298","280,856"
AL,36024,"77,251.08","45,583","390,325"
AL,36025,"53,129.51",9486,"222,649"
AL,36026,"93,070.21","81,447","584,117"
AL,36027,"55,640.75","35,709","157,932"
AL,36028,"52,058.57",4857,"155,298"
AL,36029,"72,107.32","63,024","223,328"
AL,36030,"43,258.82",1412,
AL,36032,"46,119.79",4542,"130,710"
AL,36033,"46,887.14",7857,"97,898"
AL,36034,"47,618.18",1455,"122,424"
AL,36035,"54,696.43",7333,"139,286"
AL,36036,"51,658.67",5307,"147,237"
AL,36037,"54,225.49","41,813","114,616"
AL,36040,"38,895.65",7043,
AL,36041,"52,124.14",2276,
AL,36042,"54,453.45",7379,"136,990"
AL,36043,"86,640.13","60,039","229,325"
AL,36046,"58,227.27",14727,"134,817"
AL,36047,"49,942.86",11643,"167,060"
AL,36048,"43,138.78",13306,
AL,36049,"55,521.46","27,781","129,194"
AL,36051,"57,375.76",3737,"201,025"
AL,36052,"123,817.07","67,366","451,591"
AL,36053,"40,347.06",19765,"81,548"
AL,36054,"62,305.01","18,705","205,567"
AL,36064,"129,614.78","103,727","382,939"
AL,36066,"75,754.66","30,947","263,648"
AL,36067,"67,204.23","24,648","222,462"
AL,36069,"57,640.54",23000,"174,296"
AL,36071,"44,448.28",1103,
AL,36075,"53,624.05",5848,"159,412"
AL,36078,"65,344.33","28,014","176,175"
AL,36079,"62,800.49","22,787","207,337"
AL,36080,"83,240.00","36,818","299,965"
AL,36081,"64,801.81","56,966","153,469"
AL,36083,"40,478.38",6405,"91,673"
AL,36088,"35,805.95",1357,"77,545"
AL,36089,"40,774.13","34,902","116,317"
AL,36091,"59,195.03",9342,"231,302"
AL,36092,"64,188.99","21,248","221,320"
AL,36093,"91,194.18","46,942","320,717"
AL,36104,"50,544.13","31,611","51,036"
AL,36105,"40,531.55","10,183","43,433"
AL,36106,"89,043.15","123,795","187,534"
AL,36107,"34,347.01",6366,"65,907"
AL,36108,"34,617.71","4,848","61,608"
AL,36109,"55,258.93","32,666","147,857"
AL,36110,"33,907.84",3040,"49,775"
AL,36111,"96,166.73","221,636","148,399"
AL,36113,"79,724.14",20828,
AL,36115,"54,720.83",1333,
AL,36116,"53,191.14","29,046","134,700"
